[11:15:52] [main/INFO]: ModLauncher running: args [--username, Casmin7, --version, forge-43.2.6, --gameDir, D:\Games\Mc\Instances\Starlight Society, --assetsDir, D:\Games\Mc\Install\assets, --assetIndex, 1.19, --uuid, 82f7ff2fdabd4b699217fbbd8d63ccff, --accessToken, ????????, --clientId, Y2IxMmNmNWYtOGZiNS00ZDYyLTg1NTgtM2E3MDIxMzRlNGZi, --xuid, 2535466807799235, --userType, msa, --versionType, release, --width, 1024, --height, 768, --launchTarget, forgeclient, --fml.forgeVersion, 43.2.6, --fml.mcVersion, 1.19.2, --fml.forgeGroup, net.minecraftforge, --fml.mcpVersion, 20220805.130853]
[11:15:52] [main/INFO]: ModLauncher 10.0.8+10.0.8+main.0ef7e830 starting: java version 17.0.3 by Microsoft; OS Windows 10 arch amd64 version 10.0
[11:15:56] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.5 Source=union:/D:/Games/Mc/Install/libraries/org/spongepowered/mixin/0.8.5/mixin-0.8.5.jar%2391!/ Service=ModLauncher Env=CLIENT
[11:15:56] [main/INFO]: Found mod file 3dskinlayers-forge-1.5.2-mc1.19.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Ad-Astra-Giselle-Addon-forge-1.19.2-1.12.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ad_astra-forge-1.19.2-1.12.4.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file AI-Improvements-1.19.2-0.5.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file AmbientSounds_FORGE_v5.2.13_mc1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file appleskin-forge-mc1.19-2.4.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file architectury-6.5.69-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ars_creo-1.19.2-3.1.3.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ars_elemental-1.19.2-0.5.8.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ars_nouveau-1.19.2-3.12.3.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file artifacts-1.19.2-5.0.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file AutoRegLib-1.8.2-55.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file backpacked-2.1.10-1.19.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file balm-forge-1.19.2-4.5.6.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file bettercombat-forge-1.6.1+1.19.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file betterfpsdist-1.19.2-1.8.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Bookshelf-Forge-1.19.2-16.2.17.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file botarium-forge-1.19.2-1.8.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file canary-mc1.19.2-0.1.9.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file carryon-forge-1.19.2-2.0.5.10.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file chat_heads-0.10.4-forge-1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file chunkloaders-1.2.3-forge-mc1.19.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file cloth-config-8.2.88-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Clumps-forge-1.19.2-9.0.0+14.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file collective-1.19.2-6.49.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file comforts-forge-6.0.3+1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file configured-2.0.1-1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file connectivity-1.19.2-3.4.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Controlling-forge-1.19.2-10.0+7.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file create-1.19.2-0.5.0.i.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file create_misc_and_things_1.19.2_2.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file createaddition-1.19.2-20230202b.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file createchunkloading-1.3.0-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file createplus-1.19.2_v0.5.2a.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file CreativeCore_FORGE_v2.9.3_mc1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file creeperoverhaul-2.0.8-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file CTM-1.19.2-1.1.6+8.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file curios-forge-1.19.2-5.1.3.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file curiouslanterns-1.19.2-1.2.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Delightful-1.19.2-3.2.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file DeLogger-4.7.0-build.9+mc1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Ding-1.19.2-Forge-1.4.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file do-a-barrel-roll-2.6.2+1.19.2-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file dummmmmmy-1.19.2-1.7.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file dynamiclightsreforged-1.19.2_v1.4.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file EasyShulkerBoxes-v4.3.7-1.19.2-Forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file eatinganimation-1.19-3.1.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file EnchantmentDescriptions-Forge-1.19.2-13.0.14.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file entangled-1.3.13-forge-mc1.19.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file entityculling-forge-1.6.1-mc1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Explosiont-1.19.2-2.4.5.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Fallingleaves-1.19.1-1.3.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file FarmersDelight-1.19-1.2.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file FastFurnace-1.19.2-7.0.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Fastload-Reforged-2.6.9+1.19.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file FastSuite-1.19.2-4.0.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file FastWorkbench-1.19.2-7.0.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file ferritecore-5.0.3-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file geckolib-forge-1.19-3.1.40.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file getittogetherdrops-forge-1.19.2-1.3.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file gravestone-1.19.2-1.0.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file handcrafted-forge-1.19.2-2.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file hourglass-1.19.1-1.2.1.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Iceberg-1.19.2-forge-1.1.4.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file immersive_paintings-0.4.4+1.19.2-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file InventoryProfilesNext-forge-1.19-1.9.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file invhud.forge.1.19-3.4.7.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file Jade-1.19.1-forge-8.8.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file JadeAddons-1.19.2-forge-3.4.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file jei-1.19.2-forge-11.6.0.1011.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file JustEnoughProfessions-forge-1.19-2.0.1.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file JustEnoughResources-1.19.2-1.2.1.193.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file kotlinforforge-3.10.0-all.jar of type LIBRARY with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file labels-1.19.2-1.8.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file lazydfu-1.19-1.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file LegendaryTooltips-1.19.2-forge-1.4.0.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file letmedespawn-1.18.x-1.19.x-forge-1.0.3.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file libIPN-forge-1.19-2.0.2.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
[11:15:56] [main/INFO]: Found mod file light-overlay-7.0.1-forge.jar of type MOD with provider {mods folder locator at D:\Games\Mc\Instances\Starlight Society\mods}
